Référence,Trajet,ID Trajet,Mode de transport Choisi,Plus rapide,Modes proposés au LLM,P(Marche) %,P(Vélo) %,P(Voiture Privée) %,P(Transports_collectifs) %,P(Train) %,P(Deux-roues motorisé) %,P(Autres modes) %,Lieu de résidence,Genre,Âge,Occupation principale,Type de logement,Motifs de déplacement,Distance parcourue,Méthode de sélection,Contrainte de chaîne,Anticipation,Fournisseur & Modèle,Température,Mémoire à court terme,Mémoire à long terme,Filtre de perception,Traits de personnalité,Météo Température (°C),Météo Condition,Météo Précipitations (mm),Raisonnement,Retard planification (s),Heure de calcul,Temps simulé,Heure de départ,ID Personne,ID Activité,Source des propositions,Écartées (motifs),Identifiant lot,Index retenu,Options présentées,Origine de la décision,Options (descriptif),Choc,Jour relatif au choc,Rôle,Raison d'exposition
2026-09-25_00_09,1,9f70fb2e-15f8-4fbc-bf90-79287b256c54,Voiture Privée,Voiture Privée,Voiture Privée | Transports_collectifs | Marche | Marche | Transports_collectifs | Transports_collectifs,10.0,0.0,85.0,5.0,0.0,0.0,0.0,Toulouse,Femme,58,Full-time worker,Terraced house,Achats,1.38,LLM,,agenda,google_gemini31_key1,0,True,True,False,False,3.0,Clear/Sunny,0.0,"Given her extremely busy schedule with multiple trips throughout the day, Capucine prioritizes the efficiency and time-saving nature of her car over walking or complex public transport chains. [Répartition estimée : car 85% · walking 10% · public_transport 5% — mode tiré au sort.]",0,2026-09-24T22:09:47+00:00,1773637201,2026-03-16 05:42:16,861500,aed95072-8296-5c1c-9b3d-d9af429efc62,en_vol:6,plafond:2,,0,6,direct,"0:car:170s:1.38km | 1:foot,bus,foot:606s:1.57km | 2:foot:1045s:1.4km | 3:foot:1140s:1.47km | 4:foot,bus,foot:1266s:3.05km | 5:foot,bus,foot:1533s:2.35km",c1_bouchon_rocade,-11,,
2026-09-25_00_09,2,66237f75-263d-4fb1-bf06-0a7ac5621ed8,Voiture Privée,Voiture Privée,Voiture Privée,,,,,,,,Toulouse,Femme,58,Full-time worker,Terraced house,home,1.32,Un seul itinéraire disponible,retour_force,,,0,True,True,False,False,3.0,Clear/Sunny,0.0,"Un seul itinéraire disponible, sélection automatique",0,2026-09-24T22:09:47+00:00,1773644754,2026-03-16 07:05:54,861500,ae774a46-7355-5cab-9934-cdf320ba3480,en_vol:1,"retour_force:foot,foot,bus,foot",,0,1,,0:car:298s:1.32km,c1_bouchon_rocade,-11,,
2026-09-25_00_09,3,109c4b3b-5fe2-4130-83e8-b4941e2261d5,Marche,Voiture Privée,Voiture Privée | Transports_collectifs | Marche | Marche | Transports_collectifs | Transports_collectifs,70.0,0.0,15.0,15.0,0.0,0.0,0.0,Toulouse,Femme,58,Full-time worker,Terraced house,Travail,1.66,LLM,,agenda,google_gemini31_key1,0,True,True,False,False,3.0,Clear/Sunny,0.0,"Given the short distance and pleasant weather, walking is the most reliable and autonomous choice for a professional, while the car is reserved for potential time-saving needs despite the short distance. [Répartition estimée : walking 70% · public_transport 15% · car 15% — mode tiré au sort.]",0,2026-09-24T22:09:54+00:00,1773647298,2026-03-16 07:48:18,861500,00c17976-c72c-5da2-a1fb-20a399c7020a,en_vol:6,plafond:1,,2,6,direct,"0:car:271s:1.48km | 1:foot,bus,foot:781s:1.8km | 2:foot:1232s:1.66km | 3:foot:1314s:1.7km | 4:foot,bus,foot:1445s:2.26km | 5:foot,bus,foot:1445s:2.26km",c1_bouchon_rocade,-11,,
2026-09-25_00_09,4,de7f8662-f6b8-4192-8a1a-2e3885fb90cd,Transports_collectifs,Transports_collectifs,Transports_collectifs | Transports_collectifs | Marche | Marche,10.0,0.0,0.0,90.0,0.0,0.0,0.0,Toulouse,Femme,58,Full-time worker,Terraced house,other,11.25,LLM,sortie_bloquee,agenda,google_gemini31_key1,0,True,True,False,False,12.0,Clear/Sunny,0.0,"As a full-time worker with a tight schedule, Capucine prioritizes the fastest transit options over walking, favoring the single-transfer route for its balance of efficiency and simplicity. [Répartition estimée : public_transport 90% · walking 10% — mode tiré au sort.]",0,2026-09-24T22:10:03+00:00,1773662948,2026-03-16 12:10:29,861500,a59bd018-464a-59ba-8231-1278035e513a,en_vol:4,,,1,4,direct,"0:foot,bus,foot,bus,foot:2848s:10.56km | 1:foot,bus,foot:3028s:11.25km | 2:foot:5238s:7.16km | 3:foot:5840s:7.51km",c1_bouchon_rocade,-11,,
2026-09-25_00_09,5,75df1a4f-9951-45c9-bbd4-887a26e3d51c,Transports_collectifs,Train,Train | Transports_collectifs | Transports_collectifs | Marche | Marche,10.0,0.0,0.0,60.0,30.0,0.0,0.0,Toulouse,Femme,58,Full-time worker,Terraced house,home,9.18,LLM,sortie_bloquee,agenda,google_gemini31_key1,0,True,True,False,False,15.0,Clear/Sunny,0.0,"As a full-time worker with a busy schedule, Capucine prioritizes the most time-efficient public transport options over long walks, favoring the bus route for its relative simplicity compared to complex multi-modal rail transfers. [Répartition estimée : public_transport 60% · train 30% · walking 10% — mode tiré au sort.]",0,2026-09-24T22:10:09+00:00,1773752348,2026-03-17 13:17:51,861500,c09c4103-af00-570f-96ff-2178d371538b,en_vol:5,,,1,5,direct,"0:foot,rail,rail,foot:2748s:14.65km | 1:foot,bus,foot,rail,foot:2896s:9.18km | 2:foot,bus,foot:3248s:9.23km | 3:foot:4668s:6.37km | 4:foot:5041s:6.46km",c1_bouchon_rocade,-11,,
2026-09-25_00_09,6,29f22655-6ffb-4165-8834-c78f66f32484,Voiture Privée,Voiture Privée,Voiture Privée | Marche | Marche | Transports_collectifs | Transports_collectifs | Transports_collectifs,30.0,0.0,60.0,10.0,0.0,0.0,0.0,Toulouse,Femme,58,Full-time worker,Terraced house,Travail,1.48,LLM,,agenda,google_gemini31_key1,0,True,True,False,False,15.0,Clear/Sunny,0.0,"Given her busy schedule with multiple evening trips, Capucine prioritizes the efficiency and autonomy of her car over the friction of public transport or the time cost of walking. [Répartition estimée : car 60% · walking 30% · public_transport 10% — mode tiré au sort.]",0,2026-09-24T22:10:16+00:00,1773756886,2026-03-17 14:14:46,861500,7b9a2ab2-029f-5e12-a426-13ffec608cc7,en_vol:6,plafond:2,,0,6,direct,"0:car:236s:1.48km | 1:foot:1232s:1.66km | 2:foot:1314s:1.7km | 3:foot,bus,foot:1441s:3.27km | 4:foot,bus,foot:1476s:3.65km | 5:foot,bus,foot:1707s:2.58km",c1_bouchon_rocade,-11,,
2026-09-25_00_09,7,c70b9442-20d4-4889-8f0a-98c81518e607,Marche,Transports_collectifs,Transports_collectifs | Marche | Marche | Transports_collectifs | Transports_collectifs | Transports_collectifs,25.0,0.0,0.0,75.0,0.0,0.0,0.0,Toulouse,Femme,58,Full-time worker,Terraced house,home,1.66,LLM,,agenda,google_gemini31_key1,0,True,True,False,False,16.0,Clear/Sunny,0.0,"As a busy professional, Capucine prioritizes the most time-efficient option, making the 13-minute transit route significantly more attractive than the longer walking alternatives. [Répartition estimée : public_transport 75% · walking 25% — mode tiré au sort.]",0,2026-09-24T22:10:22+00:00,1773774206,2026-03-17 19:03:26,861500,b0c43b32-4de6-5975-8e24-f63242600c51,en_vol:6,plafond:1,,1,6,direct,"0:foot,bus,foot:828s:2.07km | 1:foot:1232s:1.66km | 2:foot:1314s:1.7km | 3:foot,bus,foot:1361s:2.12km | 4:foot,bus,foot:1369s:3.38km | 5:foot,bus,foot:1397s:3.62km",c1_bouchon_rocade,-11,,
2026-09-25_00_09,8,752dc985-25ad-429b-82a3-304e03f32613,Voiture Privée,Voiture Privée,Voiture Privée | Transports_collectifs | Transports_collectifs | Transports_collectifs | Marche | Transports_collectifs,0.0,0.0,90.0,10.0,0.0,0.0,0.0,Toulouse,Femme,58,Full-time worker,Terraced house,other,5.05,LLM,,agenda,google_gemini31_key1,0,True,True,False,False,16.0,Clear/Sunny,0.0,"As a full-time worker with a tight schedule and multiple subsequent trips planned, Capucine prioritizes the efficiency and time-saving convenience of her car over the significant delays and complexity of public transport. [Répartition estimée : car 90% · public_transport 10% — mode tiré au sort.]",0,2026-09-24T22:10:29+00:00,1773776306,2026-03-17 19:38:26,861500,32506179-261f-5059-bdd0-1fa94db5fad5,en_vol:6,plafond:2,,0,6,direct,"0:car:703s:5.05km | 1:foot,rail,foot,tram,foot:2852s:10.71km | 2:foot,bus,foot,tram,foot:2904s:8.62km | 3:foot,bus,foot:3353s:7.11km | 4:foot:3380s:4.54km | 5:foot,bus,foot:3406s:6.71km",c1_bouchon_rocade,-11,,
2026-09-25_00_09,9,71c4fcc4-efb9-4df7-aeda-9b9c93157508,Voiture Privée,Voiture Privée,Voiture Privée,,,,,,,,Toulouse,Femme,58,Full-time worker,Terraced house,home,4.98,Un seul itinéraire disponible,retour_force,,,0,True,True,False,False,16.0,Clear/Sunny,0.0,"Un seul itinéraire disponible, sélection automatique",0,2026-09-24T22:10:29+00:00,1773779746,2026-03-17 20:35:46,861500,426f9e8c-ec0a-57b3-a964-3a34bd0a0e71,en_vol:1,"retour_force:foot,foot,bus,foot,foot,tram,foot,bus,foot",,0,1,,0:car:641s:4.98km,c1_bouchon_rocade,-11,,
2026-09-25_00_09,10,dab55874-155e-4f9c-b757-086322632709,Voiture Privée,Voiture Privée,Voiture Privée | Transports_collectifs | Train | Transports_collectifs | Marche | Marche,6.0,0.0,80.0,4.0,10.0,0.0,0.0,Toulouse,Femme,58,Full-time worker,Terraced house,other,4.86,LLM,,agenda,google_gemini31_key1,0,True,True,False,False,11.0,Clear/Sunny,0.0,"As a full-time worker traveling late at night, Capucine prioritizes the efficiency, speed, and personal security of her car over the high chain friction and long walking times of public transport options. [Répartition estimée : car 80% · train 10% · walking 6% · public_transport 4% — mode tiré au sort.]",0,2026-09-24T22:10:36+00:00,1773783128,2026-03-17 21:32:08,861500,77f5bd6b-782a-5308-9139-2015b61b767f,en_vol:6,plafond:1,,0,6,direct,"0:car:582s:4.86km | 1:foot,rail,foot,bus,foot:1330s:4.34km | 2:foot,rail,foot:1341s:4.3km | 3:foot,bus,foot:1509s:3.73km | 4:foot:2354s:3.2km | 5:foot:2578s:3.28km",c1_bouchon_rocade,-11,,
