person_id,activite_id,motif,jour_prev,jour_curr,date_prev,date_curr,phase_curr,mode_prev,mode_curr,route_prev,route_curr,modal_change,route_change,day_gap,is_consecutive_day,selection_prev,selection_curr,is_llm_valid_transition
861500,00c17976-c72c-5da2-a1fb-20a399c7020a,Travail,1,3,2026-03-16,2026-03-18,1. Pré-choc (J1-7),Marche,Voiture Privée,foot:1232s:1.66km,car:259s:1.48km,True,True,2,False,LLM,LLM,True
861500,00c17976-c72c-5da2-a1fb-20a399c7020a,Travail,3,5,2026-03-18,2026-03-20,1. Pré-choc (J1-7),Voiture Privée,Voiture Privée,car:259s:1.48km,car:231s:1.48km,False,True,2,False,LLM,LLM,True
861500,00c17976-c72c-5da2-a1fb-20a399c7020a,Travail,5,9,2026-03-20,2026-03-24,2. Péri-choc (J8-9),Voiture Privée,Voiture Privée,car:231s:1.48km,car:271s:1.48km,False,True,4,False,LLM,LLM,True
861500,00c17976-c72c-5da2-a1fb-20a399c7020a,Travail,9,10,2026-03-24,2026-03-25,3. Post-choc immédiat (J10-14),Voiture Privée,Voiture Privée,car:271s:1.48km,car:259s:1.48km,False,True,1,True,LLM,LLM,True
861500,00c17976-c72c-5da2-a1fb-20a399c7020a,Travail,10,11,2026-03-25,2026-03-26,3. Post-choc immédiat (J10-14),Voiture Privée,Voiture Privée,car:259s:1.48km,car:265s:1.48km,False,True,1,True,LLM,LLM,True
861500,00c17976-c72c-5da2-a1fb-20a399c7020a,Travail,11,15,2026-03-26,2026-03-30,4. Post-choc tardif (J15-21+),Voiture Privée,Voiture Privée,car:265s:1.48km,car:271s:1.48km,False,True,4,False,LLM,LLM,True
861500,00c17976-c72c-5da2-a1fb-20a399c7020a,Travail,15,16,2026-03-30,2026-03-31,4. Post-choc tardif (J15-21+),Voiture Privée,Voiture Privée,car:271s:1.48km,car:271s:1.48km,False,False,1,True,LLM,LLM,True
861500,00c17976-c72c-5da2-a1fb-20a399c7020a,Travail,16,17,2026-03-31,2026-04-01,4. Post-choc tardif (J15-21+),Voiture Privée,Voiture Privée,car:271s:1.48km,car:259s:1.48km,False,True,1,True,LLM,LLM,True
861500,00c17976-c72c-5da2-a1fb-20a399c7020a,Travail,17,18,2026-04-01,2026-04-02,4. Post-choc tardif (J15-21+),Voiture Privée,Voiture Privée,car:259s:1.48km,car:265s:1.48km,False,True,1,True,LLM,LLM,True
861500,00c17976-c72c-5da2-a1fb-20a399c7020a,Travail,18,22,2026-04-02,2026-04-06,4. Post-choc tardif (J15-21+),Voiture Privée,Marche,car:265s:1.48km,foot:1232s:1.66km,True,True,4,False,LLM,LLM,True
