Référence,Trajet,ID Trajet,Mode de transport Choisi,Plus rapide,Modes proposés au LLM,P(Marche) %,P(Vélo) %,P(Voiture Privée) %,P(Transports_collectifs) %,P(Train) %,P(Deux-roues motorisé) %,P(Autres modes) %,Lieu de résidence,Genre,Âge,Occupation principale,Type de logement,Motifs de déplacement,Distance parcourue,Méthode de sélection,Contrainte de chaîne,Anticipation,Fournisseur & Modèle,Température,Mémoire à court terme,Mémoire à long terme,Filtre de perception,Traits de personnalité,Météo Température (°C),Météo Condition,Météo Précipitations (mm),Raisonnement,Retard planification (s),Heure de calcul,Temps simulé,Heure de départ,ID Personne,ID Activité,Source des propositions,Écartées (motifs),Identifiant lot,Index retenu,Options présentées,Origine de la décision,Options (descriptif),Choc,Jour relatif au choc,Rôle,Raison d'exposition
2026-09-25_13_06,1,3de0818f-6feb-474a-a2d0-19f7ee5682a2,Voiture Privée,Voiture Privée,Voiture Privée | Vélo | Transports_collectifs | Transports_collectifs | Transports_collectifs | Transports_collectifs,0.0,5.0,85.0,10.0,0.0,0.0,0.0,1st ring,Homme,40,Full-time worker,Detached house,Travail,26.31,LLM,,agenda,google_gemini31_key1,0,True,True,False,False,3.0,Clear/Sunny,0.0,"As a full-time worker with a long commute, Arthur prioritizes the efficiency and schedule control of his car over complex, time-consuming public transport chains. [Répartition estimée : car 85% · public_transport 10% · cycling 5% — mode tiré au sort.]",0,2026-09-25T11:07:23+00:00,1773637201,2026-03-16 05:57:18,286920,77dc39e3-67f4-5bfd-ac32-406697f6d784,en_vol:6,plafond:2,,0,6,direct,"0:car:1339s:26.31km | 1:bicycle:4910s:22.64km | 2:foot,bus,foot,bus,foot:5617s:26.07km | 3:foot,bus,foot,bus,foot:5631s:27.04km | 4:foot,bus,foot,bus,foot:5655s:27.17km | 5:foot,bus,foot,bus,foot,bus,foot:5733s:27.51km",a09_vent_autan,-8,expose,foyer:133048
2026-09-25_13_06,2,be1d5f64-3a34-4c89-900d-b2b838f0f949,Voiture Privée,Voiture Privée,Voiture Privée | Transports_collectifs | Transports_collectifs | Transports_collectifs | Vélo | Transports_collectifs,0.0,5.0,70.0,25.0,0.0,0.0,0.0,1st ring,Femme,42,Full-time worker,Detached house,Travail,22.03,LLM,,agenda,google_gemini31_key1,0,True,True,False,False,3.0,Clear/Sunny,0.0,"Given her multiple daily trips and professional schedule, the car offers the necessary flexibility and time savings compared to public transport. [Répartition estimée : car 70% · public_transport 25% · cycling 5% — mode tiré au sort.]",0,2026-09-25T11:07:23+00:00,1773637201,2026-03-16 06:56:35,286921,fdc4a9c5-51d6-5dff-9828-90d83e0afa75,en_vol:6,,,0,6,direct,"0:car:1458s:22.03km | 1:foot,bus,foot,rail,foot,metro,foot:3673s:22.49km | 2:foot,bus,foot,rail,foot:3848s:22.63km | 3:foot,bus,foot,metro,foot:4296s:23.15km | 4:bicycle:4634s:20.12km | 5:foot,bus,foot:5022s:24.4km",a09_vent_autan,-8,co_resident,foyer:133048
2026-09-25_13_06,3,ce5347f3-e6a1-4328-a6b8-cf2fd0b2e020,Vélo,Vélo,Vélo | Voiture Privée | Transports_collectifs | Marche | Marche | Transports_collectifs,30.0,40.0,20.0,10.0,0.0,0.0,0.0,1st ring,Homme,9,Pupil (up to Baccalaureate),Detached house,Etude,1.21,LLM,,agenda,google_gemini31_key1,0,True,True,False,False,3.0,Clear/Sunny,0.0,Cycling is an efficient and age-appropriate mode for a 9-year-old to cover the short distance to school independently. [Répartition estimée : cycling 40% · walking 30% · car 20% · public_transport 10% — mode tiré au sort.],0,2026-09-25T11:07:23+00:00,1773637201,2026-03-16 08:43:34,286923,fe705413-82ad-5bdf-90d1-c1da093454c2,en_vol:6,plafond:3,,0,6,direct,"0:bicycle:290s:1.21km | 1:car:292s:1.18km | 2:foot,bus,foot:596s:1.24km | 3:foot:880s:1.19km | 4:foot:892s:1.15km | 5:foot,bus,foot:1201s:1.83km",a09_vent_autan,-8,co_resident,foyer:133048
2026-09-25_13_06,4,106c8eca-ad77-4abd-8dfb-f4f7a133dd7d,Voiture Privée,Voiture Privée,Voiture Privée | Vélo | Marche | Marche | Transports_collectifs | Transports_collectifs,60.0,10.0,20.0,10.0,0.0,0.0,0.0,1st ring,Femme,6,Pupil (up to Baccalaureate),Detached house,Etude,1.24,LLM,passager,agenda,google_gemini31_key1,0,True,True,False,False,3.0,Clear/Sunny,0.0,"For a child, walking is a safe and independent mode for short distances, though parents often prefer the speed of a car for school drop-offs. [Répartition estimée : walking 60% · car 20% · cycling 10% · public_transport 10% — mode tiré au sort.]",0,2026-09-25T11:07:23+00:00,1773637201,2026-03-16 06:59:50,286922,55fc17f3-2bda-5842-9e72-714949e1c0cc,en_vol:6,plafond:3,,0,6,direct,"0:car:172s:1.24km | 1:bicycle:590s:1.21km | 2:foot:880s:1.19km | 3:foot:952s:1.21km | 4:foot,bus,foot:1417s:2.04km | 5:foot,bus,foot:1417s:2.04km",a09_vent_autan,-8,co_resident,foyer:133048
2026-09-25_13_06,5,09106829-9dab-4528-a8b7-a7f48da108b6,Voiture Privée,Voiture Privée,Voiture Privée,,,,,,,,1st ring,Homme,40,Full-time worker,Detached house,home,23.05,Un seul itinéraire disponible,retour_force,,,0,True,True,False,False,13.0,Clear/Sunny,0.0,"Un seul itinéraire disponible, sélection automatique",0,2026-09-25T11:07:23+00:00,1773688899,2026-03-16 19:21:39,286920,dde263c1-324f-540f-b9cd-e8beab2a481a,en_vol:1,"retour_force:foot,bus,bus,foot,foot,bus,foot,bus,foot,foot,bus,foot,rail,foot,bus,foot,foot,rail,rail,foot,bus,foot",,0,1,,0:car:1520s:23.05km,a09_vent_autan,-8,expose,foyer:133048
2026-09-25_13_06,6,473b2139-3315-4cd6-8ff9-03d9bb5f0d19,Voiture Privée,Voiture Privée,Voiture Privée | Vélo | Transports_collectifs | Marche | Marche | Transports_collectifs,30.0,50.0,20.0,0.0,0.0,0.0,0.0,1st ring,Homme,9,Pupil (up to Baccalaureate),Detached house,home,1.18,LLM,passager,agenda,google_gemini31_key1,0,True,True,False,False,12.0,Clear/Sunny,0.0,"A 9-year-old child prefers the speed and independence of a bicycle for a short 1.2 km distance, while walking is a safe secondary option. [Répartition estimée : cycling 50% · walking 30% · car 20% — mode tiré au sort.]",0,2026-09-25T11:07:30+00:00,1773664817,2026-03-16 12:40:17,286923,a120b685-6647-50e1-89d9-b699f76304fd,en_vol:6,plafond:1,,0,6,direct,"0:car:205s:1.18km | 1:bicycle:290s:1.21km | 2:foot,bus,foot:633s:1.45km | 3:foot:880s:1.19km | 4:foot:892s:1.15km | 5:foot,bus,foot:1510s:2.17km",a09_vent_autan,-8,co_resident,foyer:133048
2026-09-25_13_06,7,fcfbeae0-be5e-44e5-95d7-58488c0caa15,Voiture Privée,Voiture Privée,Voiture Privée | Transports_collectifs | Marche | Marche | Transports_collectifs | Transports_collectifs,20.0,0.0,70.0,10.0,0.0,0.0,0.0,1st ring,Femme,42,Full-time worker,Detached house,Achats,1.48,LLM,sortie_bloquee,agenda,google_gemini31_key1,0,True,True,False,False,12.0,Clear/Sunny,0.0,"As a full-time worker with a tight schedule and further trips planned, the efficiency and convenience of the car are prioritized over walking or complex public transport. [Répartition estimée : car 70% · walking 20% · public_transport 10% — mode tiré au sort.]",0,2026-09-25T11:07:30+00:00,1773668289,2026-03-16 13:38:09,286921,006b2835-991a-52f6-86b5-46c8b1ff4348,en_vol:6,,,0,6,direct,"0:car:298s:1.48km | 1:foot,bus,foot:489s:0.89km | 2:foot:604s:0.75km | 3:foot:638s:0.8km | 4:foot,bus,foot:840s:1.64km | 5:foot,bus,foot:846s:1.84km",a09_vent_autan,-8,co_resident,foyer:133048
2026-09-25_13_06,8,17ec5d5c-c7aa-4b4c-9691-03040bde6279,Voiture Privée,Voiture Privée,Voiture Privée | Transports_collectifs | Marche | Marche | Transports_collectifs | Transports_collectifs,50.0,0.0,45.0,5.0,0.0,0.0,0.0,1st ring,Femme,6,Pupil (up to Baccalaureate),Detached house,home,1.21,LLM,passager,meteo,google_gemini31_key1,0,True,True,False,False,14.0,Clear/Sunny,0.0,"A 6-year-old child typically relies on being driven by parents or walking short distances, making these the most practical and safe modes. [Répartition estimée : walking 50% · car 45% · public_transport 5% — mode tiré au sort.]",0,2026-09-25T11:07:30+00:00,1773683499,2026-03-16 17:51:39,286922,504aff56-3c74-5a35-98d7-f5edd716f6f2,en_vol:6,plafond:2,,0,6,direct,"0:car:275s:1.21km | 1:foot,bus,foot:768s:1.42km | 2:foot:880s:1.19km | 3:foot:952s:1.21km | 4:foot,bus,foot:1272s:1.9km | 5:foot,bus,foot:1334s:1.94km",a09_vent_autan,-8,co_resident,foyer:133048
2026-09-25_13_06,9,61db0f06-4f91-468e-8e64-0ae5f4efe2ef,Marche,Voiture Privée,Voiture Privée | Vélo | Transports_collectifs | Transports_collectifs | Marche | Marche,50.0,50.0,0.0,0.0,0.0,0.0,0.0,1st ring,Homme,9,Pupil (up to Baccalaureate),Detached house,Etude,1.15,LLM,,agenda,google_gemini31_key1,0,True,True,False,False,12.0,Clear/Sunny,0.0,"As a child, cycling is the most efficient and enjoyable mode for this short distance, while walking is a safe and simple alternative, avoiding the unnecessary complexity of public transport. [Répartition estimée : walking 50% · cycling 50% — mode tiré au sort.]",0,2026-09-25T11:07:37+00:00,1773670871,2026-03-16 14:21:11,286923,4f6f0c39-09b9-5f8b-940f-07bcb84b8e94,en_vol:6,plafond:1,,5,6,direct,"0:car:201s:1.18km | 1:bicycle:290s:1.21km | 2:foot,bus,foot:596s:1.24km | 3:foot,bus,foot:692s:1.49km | 4:foot:880s:1.19km | 5:foot:892s:1.15km",a09_vent_autan,-8,co_resident,foyer:133048
2026-09-25_13_06,10,8a9d6dd7-a589-47df-a9f1-6512e104137b,Marche,Voiture Privée,Voiture Privée | Transports_collectifs | Marche | Marche | Transports_collectifs | Transports_collectifs,90.0,0.0,10.0,0.0,0.0,0.0,0.0,1st ring,Femme,42,Full-time worker,Detached house,Travail,0.8,LLM,sortie_bloquee,agenda,google_gemini31_key1,0,True,True,False,False,12.0,Clear/Sunny,0.0,"Given the very short distance, walking is the most reliable and stress-free option for a busy professional, avoiding the friction of public transport interchanges or the hassle of parking a car. [Répartition estimée : walking 90% · car 10% — mode tiré au sort.]",0,2026-09-25T11:07:37+00:00,1773670985,2026-03-16 14:23:05,286921,8242f224-3dcf-5afd-8549-87824c027353,en_vol:6,plafond:1,,3,6,direct,"0:car:150s:0.94km | 1:foot,bus,foot:591s:1.23km | 2:foot:604s:0.75km | 3:foot:638s:0.8km | 4:foot,bus,foot:924s:1.38km | 5:foot,bus,foot:930s:1.35km",a09_vent_autan,-8,co_resident,foyer:133048
