Référence,Trajet,ID Trajet,Mode de transport Choisi,Plus rapide,Modes proposés au LLM,P(Marche) %,P(Vélo) %,P(Voiture Privée) %,P(Transports_collectifs) %,P(Train) %,P(Deux-roues motorisé) %,P(Autres modes) %,Lieu de résidence,Genre,Âge,Occupation principale,Type de logement,Motifs de déplacement,Distance parcourue,Méthode de sélection,Contrainte de chaîne,Anticipation,Fournisseur & Modèle,Température,Mémoire à court terme,Mémoire à long terme,Filtre de perception,Traits de personnalité,Météo Température (°C),Météo Condition,Météo Précipitations (mm),Raisonnement,Retard planification (s),Heure de calcul,Temps simulé,Heure de départ,ID Personne,ID Activité,Source des propositions,Écartées (motifs),Identifiant lot,Index retenu,Options présentées,Origine de la décision,Options (descriptif),Choc,Jour relatif au choc,Rôle,Raison d'exposition
2026-09-25_21_50,1,179a1d59-ffeb-4286-af59-fcb7be4c3b80,Voiture Privée,Voiture Privée,Voiture Privée | Transports_collectifs | Transports_collectifs | Transports_collectifs | Transports_collectifs | Marche,5.0,0.0,60.0,35.0,0.0,0.0,0.0,Toulouse,Femme,8,Pupil (up to Baccalaureate),Detached house,Etude,5.04,LLM,passager,meteo,rejeu:google_gemini31_key1,0,True,True,False,False,3.0,Clear/Sunny,0.0,"As a child in a high-income household, the car is the most efficient and comfortable option for a school commute, minimizing exposure to complex public transport transfers. [Répartition estimée : car 60% · public_transport 35% · walking 5% — mode tiré au sort.]",0,2026-09-25T21:10:15+00:00,1773637201,2026-03-16 07:14:55,1127258,903354b1-09e1-5672-9b53-77a84fe432dc,en_vol:6,plafond:1,,0,6,direct,"0:car:954s:5.04km | 1:foot,bus,foot,bus,foot:2209s:6.08km | 2:foot,bus,foot,metro,foot:2221s:5.56km | 3:foot,bus,foot,bus,foot:2253s:5.3km | 4:foot,bus,foot,metro,foot,bus,foot:2284s:5.7km | 5:foot:3178s:4.27km",,,,
2026-09-25_21_50,2,0f96bf64-dcaf-43ff-bb6a-b9aa22bb2306,Voiture Privée,Voiture Privée,Voiture Privée | Transports_collectifs | Transports_collectifs | Transports_collectifs | Marche | Marche,0.0,0.0,70.0,30.0,0.0,0.0,0.0,Toulouse,Homme,5,Pupil (up to Baccalaureate),Detached house,Etude,7.89,LLM,passager,meteo,rejeu:google_gemini31_key1,0,True,True,False,False,3.0,Clear/Sunny,0.0,"Given the young age of the child and the significant distance, the car is the only practical and safe choice to ensure a timely arrival at school. [Répartition estimée : car 70% · public_transport 30% — mode tiré au sort.]",0,2026-09-25T21:10:16+00:00,1773637201,2026-03-16 08:07:03,1127257,ec53699b-d5e2-5ef2-9f34-bb24d116e2da,en_vol:6,,,0,6,direct,"0:car:1496s:7.89km | 1:foot,bus,foot,metro,foot,bus,foot:3108s:9.29km | 2:foot,metro,foot,bus,foot:3327s:8.2km | 3:foot,metro,foot,rail,foot:3586s:8.4km | 4:foot:5961s:7.63km | 5:foot:6146s:7.6km",,,,
2026-09-25_21_50,3,ce51359a-4b01-4284-a959-a53637cb98da,Voiture Privée,Voiture Privée,Voiture Privée | Vélo | Transports_collectifs | Marche | Marche,10.0,40.0,30.0,20.0,0.0,0.0,0.0,Toulouse,Homme,28,Full-time worker,Large apartment building,Travail,3.02,LLM,,agenda,rejeu:google_gemini31_key1,0,True,True,False,False,3.0,Clear/Sunny,0.0,"As a full-time worker with a busy schedule, the bicycle offers the best balance of speed, reliability, and autonomy for this short distance. [Répartition estimée : cycling 40% · car 30% · public_transport 20% · walking 10% — mode tiré au sort.]",0,2026-09-25T21:10:16+00:00,1773637201,2026-03-16 07:57:41,1320713,83b92b0a-4ab8-5ffe-8acb-6ae06b1a3bb7,en_vol:5,,,0,5,direct,"0:car:562s:3.02km | 1:bicycle:675s:2.16km | 2:foot,metro,foot:1254s:2.48km | 3:foot:1597s:2.04km | 4:foot:1709s:2.13km",,,,
2026-09-25_21_50,4,7447a338-bb9e-4e7c-9e81-11a575803436,Marche,Voiture Privée,Voiture Privée | Vélo | Transports_collectifs | Marche | Marche,40.0,50.0,0.0,10.0,0.0,0.0,0.0,Toulouse,Femme,28,Full-time worker,Large apartment building,Travail,2.12,LLM,,agenda,rejeu:google_gemini31_key2,0,True,True,False,False,3.0,Clear/Sunny,0.0,Bicycling offers the best balance of speed and cost-effectiveness for a low-income worker compared to walking or paying for public transport. [Répartition estimée : cycling 50% · walking 40% · public_transport 10% — mode tiré au sort.],0,2026-09-25T21:10:16+00:00,1773637201,2026-03-16 11:17:45,1320712,009202af-6a35-5f1f-9f31-c0b327836c0f,en_vol:5,,,3,5,direct,"0:car:467s:2.91km | 1:bicycle:787s:2.75km | 2:foot,metro,foot:1037s:2.22km | 3:foot:1697s:2.12km | 4:foot:1788s:2.22km",,,,
2026-09-25_21_50,5,4d9d1dd4-05bb-4ac4-b251-cc2f5ffc5819,Voiture Privée,Voiture Privée,Voiture Privée | Transports_collectifs | Marche | Marche,5.0,0.0,90.0,5.0,0.0,0.0,0.0,Toulouse,Homme,38,Full-time worker,Detached house,other,4.49,LLM,,agenda,rejeu:google_gemini31_key2,0,True,True,False,False,3.0,Clear/Sunny,0.0,"Given the tight schedule of multiple trips throughout the day, the efficiency and autonomy of the car are prioritized over walking or public transport. [Répartition estimée : car 90% · walking 5% · public_transport 5% — mode tiré au sort.]",0,2026-09-25T21:10:16+00:00,1773637201,2026-03-16 06:54:33,1127259,582a4bac-fb12-59aa-a2e9-7f8ab43b5011,en_vol:4,,,0,4,direct,"0:car:507s:4.49km | 1:foot,bus,foot:1418s:4.55km | 2:foot:2786s:3.81km | 3:foot:3022s:3.88km",,,,
2026-09-25_21_50,6,e1648a00-350e-4049-a11d-5109686b93ae,Transports_collectifs,Voiture Privée,Voiture Privée | Transports_collectifs | Transports_collectifs | Transports_collectifs | Transports_collectifs | Marche,0.0,0.0,60.0,40.0,0.0,0.0,0.0,Toulouse,Femme,35,Full-time worker,Detached house,Travail,10.19,LLM,,agenda,rejeu:google_gemini31_key2,0,True,True,False,False,3.0,Clear/Sunny,0.0,The car is significantly faster and more reliable for this long-distance commute compared to complex public transport chains with multiple transfers. [Répartition estimée : car 60% · public_transport 40% — mode tiré au sort.],0,2026-09-25T21:10:16+00:00,1773637201,2026-03-16 07:16:37,1127260,54f77f6b-7191-5f01-80af-c87b3136e8ac,en_vol:6,plafond:2,,1,6,direct,"0:car:1531s:11.39km | 1:foot,bus,foot,metro,foot,rail,foot:3047s:10.19km | 2:foot,bus,foot,rail,foot:3397s:9.48km | 3:foot,bus,foot,metro,foot,bus,bus,foot:3826s:11.31km | 4:foot,metro,foot,bus,bus,foot:4143s:11.73km | 5:foot:7196s:9.31km",,,,
2026-09-25_21_50,7,7aafcf0c-bace-47b6-a40a-20dbe642167c,Transports_collectifs,Transports_collectifs,Transports_collectifs | Marche | Marche,50.0,0.0,0.0,50.0,0.0,0.0,0.0,Toulouse,Femme,28,Full-time worker,Large apartment building,other,2.72,LLM,sortie_bloquee,agenda,rejeu:google_gemini31_key2,0,True,True,False,False,13.0,Clear/Sunny,0.0,"Given the low income, the metro is the most efficient way to cover the distance quickly, though walking remains a viable alternative for short trips. [Répartition estimée : walking 50% · public_transport 50% — mode tiré au sort.]",0,2026-09-25T21:10:16+00:00,1773685009,2026-03-16 18:18:00,1320712,a6b3f493-dbd1-5421-9a65-5dddb2d6c56b,en_vol:3,,,0,3,direct,"0:foot,metro,foot:1023s:2.72km | 1:foot:1913s:2.41km | 2:foot:2030s:2.46km",,,,
2026-09-25_21_50,8,2be908d4-1dfe-4390-80d2-bda2e124891e,Voiture Privée,Voiture Privée,Voiture Privée | Transports_collectifs | Transports_collectifs | Train | Transports_collectifs | Marche,0.0,0.0,70.0,25.0,5.0,0.0,0.0,Toulouse,Homme,28,Full-time worker,Large apartment building,other,13.14,LLM,sortie_bloquee,agenda,rejeu:google_gemini31_key2,0,True,True,False,False,12.0,Clear/Sunny,0.0,"Given his tight schedule with multiple subsequent trips, the efficiency and time-saving nature of the car significantly outweigh the long, multi-modal public transport options. [Répartition estimée : car 70% · public_transport 25% · train 5% — mode tiré au sort.]",0,2026-09-25T21:10:16+00:00,1773669080,2026-03-16 13:51:20,1320713,49bbd456-dc76-5752-8e87-d16f6d274287,en_vol:6,plafond:2,,0,6,direct,"0:car:1251s:13.14km | 1:foot,metro,foot,bus,foot:3089s:13.69km | 2:foot,metro,foot,bus,foot:3149s:15.27km | 3:foot,rail,foot:3852s:11.12km | 4:foot,metro,foot,bus,foot:4230s:17.48km | 5:foot:8021s:10.85km",,,,
2026-09-25_21_50,9,72752998-e034-4c9b-8290-8d9cc1474b68,Voiture Privée,Voiture Privée,Voiture Privée | Transports_collectifs | Transports_collectifs | Transports_collectifs | Marche | Marche,5.0,0.0,70.0,25.0,0.0,0.0,0.0,Toulouse,Femme,8,Pupil (up to Baccalaureate),Detached house,home,4.68,LLM,passager,meteo,rejeu:google_gemini31_key1,0,True,True,False,False,14.0,Clear/Sunny,0.0,"Given the child's age and the long duration of public transport options, the car provides the most efficient and least fatiguing way to return home. [Répartition estimée : car 70% · public_transport 25% · walking 5% — mode tiré au sort.]",0,2026-09-25T21:10:16+00:00,1773682603,2026-03-16 17:36:43,1127258,c4fd3b09-525d-5b75-af83-24e3bbd66f08,en_vol:6,,,0,6,direct,"0:car:906s:4.68km | 1:foot,metro,foot,bus,foot:2221s:5.35km | 2:foot,bus,foot:2797s:5.2km | 3:foot,metro,foot:2891s:5.28km | 4:foot:3178s:4.27km | 5:foot:3429s:4.37km",,,,
2026-09-25_21_50,10,dd544cad-4b32-4656-bc5f-c8511c4fa830,Voiture Privée,Voiture Privée,Voiture Privée | Transports_collectifs | Transports_collectifs | Transports_collectifs | Transports_collectifs | Marche,0.0,0.0,90.0,10.0,0.0,0.0,0.0,Toulouse,Homme,38,Full-time worker,Detached house,Travail,6.02,LLM,,agenda,rejeu:google_gemini31_key2,0,True,True,False,False,3.0,Clear/Sunny,0.0,"As a high-income working professional with multiple trips planned, the car offers the necessary efficiency and schedule control compared to complex, time-consuming public transport routes. [Répartition estimée : car 90% · public_transport 10% — mode tiré au sort.]",0,2026-09-25T21:10:16+00:00,1773649339,2026-03-16 08:22:19,1127259,09ea64d2-624e-5f19-97a1-3571d582fd3e,en_vol:6,plafond:2,,0,6,direct,"0:car:859s:6.02km | 1:foot,bus,foot,bus,foot:1873s:7.21km | 2:foot,bus,foot,bus,foot,bus,foot:1962s:7.61km | 3:foot,bus,foot,bus,foot:2402s:7.44km | 4:foot,bus,foot:3295s:7.61km | 5:foot:4526s:6.04km",,,,
