person_id,activite_id,motif,jour_prev,jour_curr,date_prev,date_curr,phase_curr,mode_prev,mode_curr,route_prev,route_curr,modal_change,route_change,day_gap,is_consecutive_day,selection_prev,selection_curr,is_llm_valid_transition
1127257,7a0fc137-6809-5ff0-ac34-26401acb16ad,home,1,2,2026-03-16,2026-03-17,Sans événement,Transports_collectifs,Transports_collectifs,"foot,bus,foot,metro,foot,bus,foot:2983s:9.77km","foot,bus,foot,metro,foot,bus,foot:2983s:9.77km",False,False,1,True,LLM,LLM,True
1127257,7a0fc137-6809-5ff0-ac34-26401acb16ad,home,2,3,2026-03-17,2026-03-18,Sans événement,Transports_collectifs,Transports_collectifs,"foot,bus,foot,metro,foot,bus,foot:2983s:9.77km","foot,bus,foot,bus,foot:3043s:9.25km",False,True,1,True,LLM,LLM,True
1127257,7a0fc137-6809-5ff0-ac34-26401acb16ad,home,3,4,2026-03-18,2026-03-19,Sans événement,Transports_collectifs,Voiture Privée,"foot,bus,foot,bus,foot:3043s:9.25km",car:1510s:10.16km,True,True,1,True,LLM,LLM,True
1127257,7a0fc137-6809-5ff0-ac34-26401acb16ad,home,4,5,2026-03-19,2026-03-20,Sans événement,Voiture Privée,Transports_collectifs,car:1510s:10.16km,"foot,bus,foot,metro,foot,bus,foot:2983s:9.77km",True,True,1,True,LLM,LLM,True
1127257,7a0fc137-6809-5ff0-ac34-26401acb16ad,home,5,8,2026-03-20,2026-03-23,Sans événement,Transports_collectifs,Transports_collectifs,"foot,bus,foot,metro,foot,bus,foot:2983s:9.77km","foot,bus,foot,metro,foot,bus,foot:2983s:9.77km",False,False,3,True,LLM,LLM,True
1127257,7a0fc137-6809-5ff0-ac34-26401acb16ad,home,8,9,2026-03-23,2026-03-24,Sans événement,Transports_collectifs,Transports_collectifs,"foot,bus,foot,metro,foot,bus,foot:2983s:9.77km","foot,bus,foot,bus,foot:3043s:9.25km",False,True,1,True,LLM,LLM,True
1127257,7a0fc137-6809-5ff0-ac34-26401acb16ad,home,9,10,2026-03-24,2026-03-25,Sans événement,Transports_collectifs,Voiture Privée,"foot,bus,foot,bus,foot:3043s:9.25km",car:1481s:10.16km,True,True,1,True,LLM,LLM,True
1127257,7a0fc137-6809-5ff0-ac34-26401acb16ad,home,10,11,2026-03-25,2026-03-26,Sans événement,Voiture Privée,Voiture Privée,car:1481s:10.16km,car:1510s:10.16km,False,True,1,True,LLM,LLM,True
1127257,7a0fc137-6809-5ff0-ac34-26401acb16ad,home,11,12,2026-03-26,2026-03-27,Sans événement,Voiture Privée,Transports_collectifs,car:1510s:10.16km,"foot,bus,foot,bus,foot:3043s:9.25km",True,True,1,True,LLM,LLM,True
1127257,7a0fc137-6809-5ff0-ac34-26401acb16ad,home,12,15,2026-03-27,2026-03-30,Sans événement,Transports_collectifs,Transports_collectifs,"foot,bus,foot,bus,foot:3043s:9.25km","foot,bus,foot,bus,foot:3043s:9.25km",False,False,3,True,LLM,LLM,True
1127257,7a0fc137-6809-5ff0-ac34-26401acb16ad,home,15,16,2026-03-30,2026-03-31,Sans événement,Transports_collectifs,Transports_collectifs,"foot,bus,foot,bus,foot:3043s:9.25km","foot,bus,foot,bus,foot:3043s:9.25km",False,False,1,True,LLM,LLM,True
1127257,7a0fc137-6809-5ff0-ac34-26401acb16ad,home,16,17,2026-03-31,2026-04-01,Sans événement,Transports_collectifs,Transports_collectifs,"foot,bus,foot,bus,foot:3043s:9.25km","foot,bus,foot,metro,foot,bus,foot:2983s:9.77km",False,True,1,True,LLM,LLM,True
1127257,7a0fc137-6809-5ff0-ac34-26401acb16ad,home,17,18,2026-04-01,2026-04-02,Sans événement,Transports_collectifs,Transports_collectifs,"foot,bus,foot,metro,foot,bus,foot:2983s:9.77km","foot,bus,foot,metro,foot,bus,foot:2983s:9.77km",False,False,1,True,LLM,LLM,True
1127257,7a0fc137-6809-5ff0-ac34-26401acb16ad,home,18,19,2026-04-02,2026-04-03,Sans événement,Transports_collectifs,Voiture Privée,"foot,bus,foot,metro,foot,bus,foot:2983s:9.77km",car:1637s:10.16km,True,True,1,True,LLM,LLM,True
1127257,7a0fc137-6809-5ff0-ac34-26401acb16ad,home,19,22,2026-04-03,2026-04-06,Sans événement,Voiture Privée,Voiture Privée,car:1637s:10.16km,car:1460s:10.16km,False,True,3,True,LLM,LLM,True
1127257,7a0fc137-6809-5ff0-ac34-26401acb16ad,home,22,23,2026-04-06,2026-04-07,Sans événement,Voiture Privée,Transports_collectifs,car:1460s:10.16km,"foot,bus,foot,metro,foot,bus,foot:2983s:9.77km",True,True,1,True,LLM,LLM,True
1127257,7a0fc137-6809-5ff0-ac34-26401acb16ad,home,23,24,2026-04-07,2026-04-08,Sans événement,Transports_collectifs,Transports_collectifs,"foot,bus,foot,metro,foot,bus,foot:2983s:9.77km","foot,bus,foot,metro,foot,bus,foot:2983s:9.77km",False,False,1,True,LLM,LLM,True
1127257,7a0fc137-6809-5ff0-ac34-26401acb16ad,home,24,25,2026-04-08,2026-04-09,Sans événement,Transports_collectifs,Transports_collectifs,"foot,bus,foot,metro,foot,bus,foot:2983s:9.77km","foot,bus,foot,metro,foot,bus,foot:2983s:9.77km",False,False,1,True,LLM,LLM,True
1127257,dde2bd4d-5d3a-5dfd-8949-f04df5b6e8a5,leisure,1,2,2026-03-16,2026-03-17,Sans événement,Voiture Privée,Voiture Privée,car:818s:6.38km,car:847s:6.38km,False,True,1,True,LLM,LLM,True
1127257,dde2bd4d-5d3a-5dfd-8949-f04df5b6e8a5,leisure,2,3,2026-03-17,2026-03-18,Sans événement,Voiture Privée,Voiture Privée,car:847s:6.38km,car:870s:6.38km,False,True,1,True,LLM,LLM,True
1127257,dde2bd4d-5d3a-5dfd-8949-f04df5b6e8a5,leisure,3,4,2026-03-18,2026-03-19,Sans événement,Voiture Privée,Voiture Privée,car:870s:6.38km,car:847s:6.38km,False,True,1,True,LLM,LLM,True
1127257,dde2bd4d-5d3a-5dfd-8949-f04df5b6e8a5,leisure,4,5,2026-03-19,2026-03-20,Sans événement,Voiture Privée,Voiture Privée,car:847s:6.38km,car:865s:6.38km,False,True,1,True,LLM,LLM,True
1127257,dde2bd4d-5d3a-5dfd-8949-f04df5b6e8a5,leisure,5,8,2026-03-20,2026-03-23,Sans événement,Voiture Privée,Voiture Privée,car:865s:6.38km,car:818s:6.38km,False,True,3,True,LLM,LLM,True
1127257,dde2bd4d-5d3a-5dfd-8949-f04df5b6e8a5,leisure,8,9,2026-03-23,2026-03-24,Sans événement,Voiture Privée,Voiture Privée,car:818s:6.38km,car:847s:6.38km,False,True,1,True,LLM,LLM,True
1127257,dde2bd4d-5d3a-5dfd-8949-f04df5b6e8a5,leisure,9,10,2026-03-24,2026-03-25,Sans événement,Voiture Privée,Voiture Privée,car:847s:6.38km,car:870s:6.38km,False,True,1,True,LLM,LLM,True
1127257,dde2bd4d-5d3a-5dfd-8949-f04df5b6e8a5,leisure,10,11,2026-03-25,2026-03-26,Sans événement,Voiture Privée,Voiture Privée,car:870s:6.38km,car:847s:6.38km,False,True,1,True,LLM,LLM,True
1127257,dde2bd4d-5d3a-5dfd-8949-f04df5b6e8a5,leisure,11,12,2026-03-26,2026-03-27,Sans événement,Voiture Privée,Voiture Privée,car:847s:6.38km,car:865s:6.38km,False,True,1,True,LLM,LLM,True
1127257,dde2bd4d-5d3a-5dfd-8949-f04df5b6e8a5,leisure,12,15,2026-03-27,2026-03-30,Sans événement,Voiture Privée,Voiture Privée,car:865s:6.38km,car:818s:6.38km,False,True,3,True,LLM,LLM,True
1127257,dde2bd4d-5d3a-5dfd-8949-f04df5b6e8a5,leisure,15,16,2026-03-30,2026-03-31,Sans événement,Voiture Privée,Voiture Privée,car:818s:6.38km,car:847s:6.38km,False,True,1,True,LLM,LLM,True
1127257,dde2bd4d-5d3a-5dfd-8949-f04df5b6e8a5,leisure,16,17,2026-03-31,2026-04-01,Sans événement,Voiture Privée,Voiture Privée,car:847s:6.38km,car:870s:6.38km,False,True,1,True,LLM,LLM,True
