Référence,Trajet,ID Trajet,Mode de transport Choisi,Plus rapide,Modes proposés au LLM,P(Marche) %,P(Vélo) %,P(Voiture Privée) %,P(Transports_collectifs) %,P(Train) %,P(Deux-roues motorisé) %,P(Autres modes) %,Lieu de résidence,Genre,Âge,Occupation principale,Type de logement,Motifs de déplacement,Distance parcourue,Méthode de sélection,Contrainte de chaîne,Anticipation,Fournisseur & Modèle,Température,Mémoire à court terme,Mémoire à long terme,Filtre de perception,Traits de personnalité,Météo Température (°C),Météo Condition,Météo Précipitations (mm),Raisonnement,Retard planification (s),Heure de calcul,Temps simulé,Heure de départ,ID Personne,ID Activité,Source des propositions,Écartées (motifs),Identifiant lot,Index retenu,Options présentées,Origine de la décision,Options (descriptif),Choc,Jour relatif au choc,Rôle,Raison d'exposition
2026-09-25_18_31,1,a64fe1f6-6eb6-4631-a5b6-006ab184ade1,Voiture Privée,Voiture Privée,Voiture Privée | Transports_collectifs | Marche | Marche,5.0,0.0,90.0,5.0,0.0,0.0,0.0,Toulouse,Homme,38,Full-time worker,Detached house,other,4.49,LLM,,agenda,rejeu:google_gemini31_key2,0,True,True,False,False,3.0,Clear/Sunny,0.0,"Given the tight schedule of multiple trips throughout the day, the efficiency and autonomy of the car are prioritized over walking or public transport. [Répartition estimée : car 90% · walking 5% · public_transport 5% — mode tiré au sort.]",0,2026-09-25T18:02:43+00:00,1773637201,2026-03-16 06:54:33,1127259,582a4bac-fb12-59aa-a2e9-7f8ab43b5011,en_vol:4,,,0,4,direct,"0:car:507s:4.49km | 1:foot,bus,foot:1418s:4.55km | 2:foot:2786s:3.81km | 3:foot:3022s:3.88km",a13_punaises_metro,-8,co_resident,foyer:534995
2026-09-25_18_31,2,8e52afcf-fbf7-49a4-8cd9-ee0d1c70a931,Marche,Voiture Privée,Voiture Privée | Vélo | Transports_collectifs | Marche | Marche,40.0,50.0,0.0,10.0,0.0,0.0,0.0,Toulouse,Femme,28,Full-time worker,Large apartment building,Travail,2.12,LLM,,agenda,rejeu:google_gemini31_key2,0,True,True,False,False,3.0,Clear/Sunny,0.0,Bicycling offers the best balance of speed and cost-effectiveness for a low-income worker compared to walking or paying for public transport. [Répartition estimée : cycling 50% · walking 40% · public_transport 10% — mode tiré au sort.],0,2026-09-25T18:02:43+00:00,1773637201,2026-03-16 11:17:45,1320712,009202af-6a35-5f1f-9f31-c0b327836c0f,en_vol:5,,,3,5,direct,"0:car:467s:2.91km | 1:bicycle:787s:2.75km | 2:foot,metro,foot:1037s:2.22km | 3:foot:1697s:2.12km | 4:foot:1788s:2.22km",a13_punaises_metro,-8,co_resident,foyer:643030
2026-09-25_18_31,3,afb0914d-047c-46a7-b485-0dc75b625a79,Voiture Privée,Voiture Privée,Voiture Privée | Vélo | Transports_collectifs | Marche | Marche,10.0,40.0,30.0,20.0,0.0,0.0,0.0,Toulouse,Homme,28,Full-time worker,Large apartment building,Travail,3.02,LLM,,agenda,rejeu:google_gemini31_key1,0,True,True,False,False,3.0,Clear/Sunny,0.0,"As a full-time worker with a busy schedule, the bicycle offers the best balance of speed, reliability, and autonomy for this short distance. [Répartition estimée : cycling 40% · car 30% · public_transport 20% · walking 10% — mode tiré au sort.]",0,2026-09-25T18:02:43+00:00,1773637201,2026-03-16 07:57:41,1320713,83b92b0a-4ab8-5ffe-8acb-6ae06b1a3bb7,en_vol:5,,,0,5,direct,"0:car:562s:3.02km | 1:bicycle:675s:2.16km | 2:foot,metro,foot:1254s:2.48km | 3:foot:1597s:2.04km | 4:foot:1709s:2.13km",a13_punaises_metro,-8,expose,foyer:643030
2026-09-25_18_31,4,eacbbdbe-5912-4503-987a-e2eed64bc16d,Voiture Privée,Voiture Privée,Voiture Privée | Transports_collectifs | Transports_collectifs | Transports_collectifs | Transports_collectifs | Marche,5.0,0.0,60.0,35.0,0.0,0.0,0.0,Toulouse,Femme,8,Pupil (up to Baccalaureate),Detached house,Etude,5.04,LLM,passager,meteo,rejeu:google_gemini31_key1,0,True,True,False,False,3.0,Clear/Sunny,0.0,"As a child in a high-income household, the car is the most efficient and comfortable option for a school commute, minimizing exposure to complex public transport transfers. [Répartition estimée : car 60% · public_transport 35% · walking 5% — mode tiré au sort.]",0,2026-09-25T18:02:43+00:00,1773637201,2026-03-16 07:14:55,1127258,903354b1-09e1-5672-9b53-77a84fe432dc,en_vol:6,plafond:1,,0,6,direct,"0:car:954s:5.04km | 1:foot,bus,foot,bus,foot:2209s:6.08km | 2:foot,bus,foot,metro,foot:2221s:5.56km | 3:foot,bus,foot,bus,foot:2253s:5.3km | 4:foot,bus,foot,metro,foot,bus,foot:2284s:5.7km | 5:foot:3178s:4.27km",a13_punaises_metro,-8,co_resident,foyer:534995
2026-09-25_18_31,5,b08d3612-c543-48b6-94fc-3760247b0bb8,Voiture Privée,Voiture Privée,Voiture Privée | Transports_collectifs | Transports_collectifs | Transports_collectifs | Marche | Marche,0.0,0.0,70.0,30.0,0.0,0.0,0.0,Toulouse,Homme,5,Pupil (up to Baccalaureate),Detached house,Etude,7.89,LLM,passager,meteo,rejeu:google_gemini31_key1,0,True,True,False,False,3.0,Clear/Sunny,0.0,"Given the young age of the child and the significant distance, the car is the only practical and safe choice to ensure a timely arrival at school. [Répartition estimée : car 70% · public_transport 30% — mode tiré au sort.]",0,2026-09-25T18:02:43+00:00,1773637201,2026-03-16 08:07:03,1127257,ec53699b-d5e2-5ef2-9f34-bb24d116e2da,en_vol:6,,,0,6,direct,"0:car:1496s:7.89km | 1:foot,bus,foot,metro,foot,bus,foot:3108s:9.29km | 2:foot,metro,foot,bus,foot:3327s:8.2km | 3:foot,metro,foot,rail,foot:3586s:8.4km | 4:foot:5961s:7.63km | 5:foot:6146s:7.6km",a13_punaises_metro,-8,co_resident,foyer:534995
2026-09-25_18_31,6,a5481b72-0101-4193-883a-995260d61bc7,Transports_collectifs,Voiture Privée,Voiture Privée | Transports_collectifs | Transports_collectifs | Transports_collectifs | Transports_collectifs | Marche,0.0,0.0,60.0,40.0,0.0,0.0,0.0,Toulouse,Femme,35,Full-time worker,Detached house,Travail,10.19,LLM,,agenda,rejeu:google_gemini31_key2,0,True,True,False,False,3.0,Clear/Sunny,0.0,The car is significantly faster and more reliable for this long-distance commute compared to complex public transport chains with multiple transfers. [Répartition estimée : car 60% · public_transport 40% — mode tiré au sort.],0,2026-09-25T18:02:43+00:00,1773637201,2026-03-16 07:16:37,1127260,54f77f6b-7191-5f01-80af-c87b3136e8ac,en_vol:6,plafond:2,,1,6,direct,"0:car:1531s:11.39km | 1:foot,bus,foot,metro,foot,rail,foot:3047s:10.19km | 2:foot,bus,foot,rail,foot:3397s:9.48km | 3:foot,bus,foot,metro,foot,bus,bus,foot:3826s:11.31km | 4:foot,metro,foot,bus,bus,foot:4143s:11.73km | 5:foot:7196s:9.31km",a13_punaises_metro,-8,expose,foyer:534995
2026-09-25_18_31,7,8ee7c1de-5d97-408a-b73c-53722b363fb6,Voiture Privée,Voiture Privée,Voiture Privée | Transports_collectifs | Transports_collectifs | Transports_collectifs | Transports_collectifs | Marche,0.0,0.0,90.0,10.0,0.0,0.0,0.0,Toulouse,Homme,38,Full-time worker,Detached house,Travail,6.02,LLM,,agenda,rejeu:google_gemini31_key2,0,True,True,False,False,3.0,Clear/Sunny,0.0,"As a high-income working professional with multiple trips planned, the car offers the necessary efficiency and schedule control compared to complex, time-consuming public transport routes. [Répartition estimée : car 90% · public_transport 10% — mode tiré au sort.]",0,2026-09-25T18:02:43+00:00,1773649339,2026-03-16 08:22:19,1127259,09ea64d2-624e-5f19-97a1-3571d582fd3e,en_vol:6,plafond:2,,0,6,direct,"0:car:859s:6.02km | 1:foot,bus,foot,bus,foot:1873s:7.21km | 2:foot,bus,foot,bus,foot,bus,foot:1962s:7.61km | 3:foot,bus,foot,bus,foot:2402s:7.44km | 4:foot,bus,foot:3295s:7.61km | 5:foot:4526s:6.04km",a13_punaises_metro,-8,co_resident,foyer:534995
2026-09-25_18_31,8,13e476bc-dcd9-434e-8015-09cf7e1ff5e2,Transports_collectifs,Transports_collectifs,Transports_collectifs | Marche | Marche,50.0,0.0,0.0,50.0,0.0,0.0,0.0,Toulouse,Femme,28,Full-time worker,Large apartment building,other,2.72,LLM,sortie_bloquee,agenda,rejeu:google_gemini31_key2,0,True,True,False,False,13.0,Clear/Sunny,0.0,"Given the low income, the metro is the most efficient way to cover the distance quickly, though walking remains a viable alternative for short trips. [Répartition estimée : walking 50% · public_transport 50% — mode tiré au sort.]",0,2026-09-25T18:02:43+00:00,1773685009,2026-03-16 18:18:00,1320712,a6b3f493-dbd1-5421-9a65-5dddb2d6c56b,en_vol:3,,,0,3,direct,"0:foot,metro,foot:1023s:2.72km | 1:foot:1913s:2.41km | 2:foot:2030s:2.46km",a13_punaises_metro,-8,co_resident,foyer:643030
2026-09-25_18_31,9,262a9655-f3dc-425c-82cf-63e796e469a6,Voiture Privée,Voiture Privée,Voiture Privée | Transports_collectifs | Transports_collectifs | Transports_collectifs | Marche | Marche,5.0,0.0,70.0,25.0,0.0,0.0,0.0,Toulouse,Femme,8,Pupil (up to Baccalaureate),Detached house,home,4.68,LLM,passager,meteo,rejeu:google_gemini31_key1,0,True,True,False,False,14.0,Clear/Sunny,0.0,"Given the child's age and the long duration of public transport options, the car provides the most efficient and least fatiguing way to return home. [Répartition estimée : car 70% · public_transport 25% · walking 5% — mode tiré au sort.]",0,2026-09-25T18:02:43+00:00,1773682603,2026-03-16 17:36:43,1127258,c4fd3b09-525d-5b75-af83-24e3bbd66f08,en_vol:6,,,0,6,direct,"0:car:906s:4.68km | 1:foot,metro,foot,bus,foot:2221s:5.35km | 2:foot,bus,foot:2797s:5.2km | 3:foot,metro,foot:2891s:5.28km | 4:foot:3178s:4.27km | 5:foot:3429s:4.37km",a13_punaises_metro,-8,co_resident,foyer:534995
2026-09-25_18_31,10,f4a8046e-f438-460a-8799-18936d8116c9,Voiture Privée,Voiture Privée,Voiture Privée | Transports_collectifs | Transports_collectifs | Transports_collectifs | Transports_collectifs | Marche,0.0,0.0,65.0,35.0,0.0,0.0,0.0,Toulouse,Homme,5,Pupil (up to Baccalaureate),Detached house,leisure,6.38,LLM,passager,meteo,rejeu:google_gemini31_key1,0,True,True,False,False,12.0,Clear/Sunny,0.0,"For a young child in a high-income household, the car is the most comfortable and direct mode, avoiding the complexity of multiple public transport transfers. [Répartition estimée : car 65% · public_transport 35% — mode tiré au sort.]",0,2026-09-25T18:02:43+00:00,1773665054,2026-03-16 12:44:14,1127257,dde2bd4d-5d3a-5dfd-8949-f04df5b6e8a5,en_vol:6,plafond:2,,0,6,direct,"0:car:818s:6.38km | 1:foot,bus,foot,bus,foot:2169s:5.98km | 2:foot,bus,foot,tram,foot:2190s:6.62km | 3:foot,bus,foot:2356s:5.91km | 4:foot,bus,foot,tram,foot:2862s:9.0km | 5:foot:4302s:5.77km",a13_punaises_metro,-8,co_resident,foyer:534995
