CodeMétéo,Condition,Condition_EN,IcôneJour,IcôneNuit
395,Neige modérée ou forte avec orage,Moderate or heavy snow with thunder,wsymbol_0012_heavy_snow_showers,wsymbol_0028_heavy_snow_showers_night
392,Légères chutes de neige localisées avec orage,Patchy light snow with thunder,wsymbol_0016_thundery_showers,wsymbol_0032_thundery_showers_night
389,Pluie modérée ou forte avec orage,Moderate or heavy rain with thunder,wsymbol_0024_thunderstorms,wsymbol_0040_thunderstorms_night
386,Légères averses de pluie avec orage,Patchy light rain with thunder,wsymbol_0016_thundery_showers,wsymbol_0032_thundery_showers_night
377,Averses modérées ou fortes de grésil,Moderate or heavy showers of ice pellets,wsymbol_0021_cloudy_with_sleet,wsymbol_0037_cloudy_with_sleet_night
374,Légères averses de grésil,Light showers of ice pellets,wsymbol_0013_sleet_showers,wsymbol_0029_sleet_showers_night
371,Averses modérées ou fortes de neige,Moderate or heavy snow showers,wsymbol_0012_heavy_snow_showers,wsymbol_0028_heavy_snow_showers_night
368,Légères averses de neige,Light snow showers,wsymbol_0011_light_snow_showers,wsymbol_0027_light_snow_showers_night
365,Averses modérées ou fortes de neige fondante,Moderate or heavy sleet showers,wsymbol_0013_sleet_showers,wsymbol_0029_sleet_showers_night
362,Légères averses de neige fondante,Light sleet showers,wsymbol_0013_sleet_showers,wsymbol_0029_sleet_showers_night
359,Averse de pluie torrentielle,Torrential rain shower,wsymbol_0018_cloudy_with_heavy_rain,wsymbol_0034_cloudy_with_heavy_rain_night
356,Averses modérées ou fortes de pluie,Moderate or heavy rain shower,wsymbol_0010_heavy_rain_showers,wsymbol_0026_heavy_rain_showers_night
353,Légères averses de pluie,Light rain shower,wsymbol_0009_light_rain_showers,wsymbol_0025_light_rain_showers_night
350,Grésil,Ice pellets,wsymbol_0021_cloudy_with_sleet,wsymbol_0037_cloudy_with_sleet_night
338,Neige forte,Heavy snow,wsymbol_0020_cloudy_with_heavy_snow,wsymbol_0036_cloudy_with_heavy_snow_night
335,Chutes de neige localisées et fortes,Patchy heavy snow,wsymbol_0012_heavy_snow_showers,wsymbol_0028_heavy_snow_showers_night
332,Neige modérée,Moderate snow,wsymbol_0020_cloudy_with_heavy_snow,wsymbol_0036_cloudy_with_heavy_snow_night
329,Chutes de neige modérées localisées,Patchy moderate snow,wsymbol_0020_cloudy_with_heavy_snow,wsymbol_0036_cloudy_with_heavy_snow_night
