classement,zone,n_agents,masse,marche,voiture,velo,transports_collectifs,l1_vs_cible
couronne_metrique,Toulouse,279,802.00,10.72,45.08,19.00,25.19,58.97
couronne_metrique,1ere couronne,223,616.00,7.59,67.62,13.60,11.19,28.12
couronne_metrique,2eme couronne,67,150.00,13.07,65.83,15.77,5.33,27.45
couronne_metrique,— L1 pondéré par le cadrage —,,,,,,,41.26
couronne_metrique,— L1 moyen pondéré —,,,,,,,43.83
couronne,Toulouse,232,652.00,10.27,44.56,20.12,25.05,59.87
couronne,1ere couronne,233,665.00,9.35,62.08,12.74,15.82,32.39
couronne,2eme couronne,86,216.00,10.08,69.42,16.60,3.90,29.13
couronne,3eme couronne,18,35.00,4.00,67.29,23.00,5.71,41.88
couronne,— L1 pondéré par le cadrage —,,,,,,,43.38
couronne,— L1 moyen pondéré —,,,,,,,43.58
