person_id,lat,lon,dist_hypercentre_km,commune,INSEE,zone_metrique,zone_communale,reclasse,age,household_size,number_of_cars
214,43.364421963655445,0.8637200019466388,53.58,,,3eme couronne,hors périmètre,True,56,3,3
216,43.364421963655445,0.8637200019466388,53.58,,,3eme couronne,hors périmètre,True,58,3,3
5327,43.56933880136649,1.5789057314405541,11.23,Aigrefeuille,31003,1ere couronne,2eme couronne,True,12,4,3
5328,43.56933880136649,1.5789057314405541,11.23,Aigrefeuille,31003,1ere couronne,2eme couronne,True,38,4,3
5329,43.56933880136649,1.5789057314405541,11.23,Aigrefeuille,31003,1ere couronne,2eme couronne,True,40,4,3
5330,43.56933880136649,1.5789057314405541,11.23,Aigrefeuille,31003,1ere couronne,2eme couronne,True,9,4,3
10538,42.974914978887405,0.6655490463559933,93.65,,,3eme couronne,hors périmètre,True,92,2,0
10539,42.974914978887405,0.6655490463559933,93.65,,,3eme couronne,hors périmètre,True,93,2,0
11217,43.21731699604665,0.8819459694880513,62.08,,,3eme couronne,hors périmètre,True,46,3,3
11218,43.21731699604665,0.8819459694880513,62.08,,,3eme couronne,hors périmètre,True,13,3,3
11219,43.21731699604665,0.8819459694880513,62.08,,,3eme couronne,hors périmètre,True,47,3,3
19662,43.2149967588554,0.8864302638177584,62.0,,,3eme couronne,hors périmètre,True,62,2,2
19663,43.2149967588554,0.8864302638177584,62.0,,,3eme couronne,hors périmètre,True,66,2,2
19826,43.684424013105,1.3135760017993832,14.34,Aussonne,31032,1ere couronne,1ere couronne,False,43,2,2
19827,43.684424013105,1.3135760017993832,14.34,Aussonne,31032,1ere couronne,1ere couronne,False,34,2,2
20051,43.343733004810176,1.502243000480223,28.58,Auterive,31033,2eme couronne,3eme couronne,True,26,2,2
20052,43.343733004810176,1.502243000480223,28.58,Auterive,31033,2eme couronne,3eme couronne,True,26,2,2
32286,43.68201099341057,1.317791980634236,13.91,Aussonne,31032,1ere couronne,1ere couronne,False,8,4,1
32287,43.68201099341057,1.317791980634236,13.91,Aussonne,31032,1ere couronne,1ere couronne,False,34,4,1
32288,43.68201099341057,1.317791980634236,13.91,Aussonne,31032,1ere couronne,1ere couronne,False,11,4,1
32289,43.68201099341057,1.317791980634236,13.91,Aussonne,31032,1ere couronne,1ere couronne,False,33,4,1
39705,43.535540410127076,1.484410194839593,7.57,Auzeville-Tolosane,31035,Toulouse,1ere couronne,True,46,1,0
47497,43.54325313558971,1.5722301227225857,11.88,Auzielle,31036,1ere couronne,1ere couronne,False,38,3,1
47498,43.54325313558971,1.5722301227225857,11.88,Auzielle,31036,1ere couronne,1ere couronne,False,16,3,1
47499,43.54325313558971,1.5722301227225857,11.88,Auzielle,31036,1ere couronne,1ere couronne,False,17,3,1
47674,43.35237598265111,1.4786630372966427,27.37,Auterive,31033,2eme couronne,3eme couronne,True,63,2,2
47675,43.35237598265111,1.4786630372966427,27.37,Auterive,31033,2eme couronne,3eme couronne,True,66,2,2
50156,43.36755840351614,1.7820029497501637,37.31,Avignonet-Lauragais,31037,2eme couronne,3eme couronne,True,31,3,2
50157,43.36755840351614,1.7820029497501637,37.31,Avignonet-Lauragais,31037,2eme couronne,3eme couronne,True,36,3,2
54606,43.348529382050266,1.8089128732865123,40.35,Avignonet-Lauragais,31037,3eme couronne,3eme couronne,False,41,1,2
65123,43.24340727669323,0.938224331762833,56.78,,,3eme couronne,hors périmètre,True,63,1,1
65910,43.455658975353565,1.6126800523479141,20.76,Baziège,31048,2eme couronne,2eme couronne,False,15,3,1
65911,43.455658975353565,1.6126800523479141,20.76,Baziège,31048,2eme couronne,2eme couronne,False,60,3,1
65912,43.455658975353565,1.6126800523479141,20.76,Baziège,31048,2eme couronne,2eme couronne,False,57,3,1
69464,43.45927104343127,1.6075189724653562,20.18,Baziège,31048,2eme couronne,2eme couronne,False,66,1,1
70156,43.4589098881988,1.6056922435177896,20.12,Baziège,31048,2eme couronne,2eme couronne,False,71,1,1
74136,43.456824041406406,1.6072349511070536,20.38,Baziège,31048,2eme couronne,2eme couronne,False,55,2,1
