zone_metrique,zone_communale,commune,n_personas
1ere couronne,2eme couronne,Fonsorbes,12
1ere couronne,2eme couronne,Saint-Jory,6
1ere couronne,2eme couronne,Eaunes,5
1ere couronne,2eme couronne,Merville,5
1ere couronne,2eme couronne,Aigrefeuille,4
1ere couronne,2eme couronne,Garidech,4
1ere couronne,2eme couronne,Paulhac,4
1ere couronne,2eme couronne,Lamasquère,3
1ere couronne,2eme couronne,Fontenilles,2
1ere couronne,2eme couronne,Lanta,2
1ere couronne,2eme couronne,Péchabou,2
1ere couronne,2eme couronne,Venerque,2
1ere couronne,2eme couronne,Belberaud,1
1ere couronne,2eme couronne,Corronsac,1
1ere couronne,2eme couronne,Grenade,1
1ere couronne,2eme couronne,Préserville,1
1ere couronne,2eme couronne,Verfeil,1
1ere couronne,2eme couronne,Vernet,1
2eme couronne,3eme couronne,Fronton,7
2eme couronne,3eme couronne,Cintegabelle,5
2eme couronne,3eme couronne,Nailloux,5
2eme couronne,3eme couronne,Villefranche-de-Lauragais,5
2eme couronne,3eme couronne,Auterive,4
2eme couronne,3eme couronne,Falga,4
2eme couronne,3eme couronne,Poucharramet,4
2eme couronne,3eme couronne,Saussens,4
2eme couronne,3eme couronne,Carbonne,3
2eme couronne,3eme couronne,Gaillac-Toulza,3
2eme couronne,3eme couronne,Lux,3
2eme couronne,3eme couronne,Mirepoix-sur-Tarn,3
2eme couronne,1ere couronne,Muret,2
2eme couronne,3eme couronne,Avignonet-Lauragais,2
2eme couronne,3eme couronne,Bessières,2
2eme couronne,3eme couronne,Bérat,2
2eme couronne,3eme couronne,Grépiac,2
2eme couronne,3eme couronne,Labastide-Clermont,2
2eme couronne,3eme couronne,Le Born,2
2eme couronne,3eme couronne,Le Burgaud,2
2eme couronne,3eme couronne,Maurens,2
2eme couronne,3eme couronne,Montesquieu-Lauragais,2
2eme couronne,3eme couronne,Saint-Rustice,2
2eme couronne,3eme couronne,Villaudric,2
2eme couronne,3eme couronne,Villemur-sur-Tarn,2
2eme couronne,3eme couronne,Buzet-sur-Tarn,1
2eme couronne,3eme couronne,Caujac,1
2eme couronne,3eme couronne,Le Cabanial,1
2eme couronne,3eme couronne,Vaux,1
2eme couronne,3eme couronne,Villematier,1
3eme couronne,hors périmètre,,45
Toulouse,1ere couronne,Blagnac,21
Toulouse,1ere couronne,Balma,19
Toulouse,1ere couronne,Tournefeuille,6
Toulouse,1ere couronne,Colomiers,5
Toulouse,1ere couronne,Ramonville-Saint-Agne,5
Toulouse,1ere couronne,L'Union,4
Toulouse,1ere couronne,Aucamville,3
Toulouse,1ere couronne,Launaguet,2
Toulouse,1ere couronne,Auzeville-Tolosane,1
