fare_id,route_id
1,line:29
1,line:271
2,line:84
2,line:70
1,line:89
1,line:10
2,line:271
1,line:32
1,line:54
2,line:32
2,line:12
2,line:55
1,line:171
1,line:105
1,line:68
2,line:163
1,line:268
2,line:28
1,line:217
2,line:74
2,line:156
1,line:194
2,line:161
2,line:207
1,line:152
2,line:52
1,line:28
1,line:24
2,line:39
1,line:166
2,line:272
2,line:230
2,line:100
2,line:65
2,line:61
2,line:194
2,line:158
2,line:89
1,line:22
2,line:208
2,line:68
1,line:83
1,line:160
2,line:63
2,line:198
2,line:102
2,line:90
1,line:33
2,line:197
2,line:20
1,line:70
1,line:39
1,line:25
1,line:31
2,line:216
2,line:143
2,line:162
2,line:62
2,line:18
2,line:101
2,line:60
2,line:54
2,line:48
1,line:162
2,line:144
1,line:75
2,line:153
2,line:204
2,line:104
2,line:38
1,line:27
1,line:94
2,line:152
1,line:174
1,line:139
2,line:81
1,line:161
1,line:156
2,line:215
1,line:58
2,line:69
1,line:84
1,line:64
1,line:57
1,line:272
2,line:45
1,line:65
2,line:24
2,line:192
1,line:48
1,line:145
1,line:81
1,line:62
2,line:46
1,line:109
2,line:159
1,line:230
2,line:73
1,line:61
2,line:16
1,line:187
2,line:83
2,line:33
1,line:155
1,line:172
1,line:184
2,line:151
1,line:47
1,line:144
1,line:192
2,line:176
1,line:74
2,line:42
1,line:153
2,line:44
2,line:268
2,line:8
2,line:109
1,line:72
1,line:176
2,line:72
1,line:101
2,line:107
1,line:204
1,line:157
2,line:193
2,line:43
1,line:264
2,line:59
1,line:8
2,line:187
2,line:14
1,line:43
1,line:44
1,line:270
2,line:97
2,line:185
2,line:145
2,line:183
1,line:90
2,line:209
1,line:216
1,line:52
1,line:104
1,line:87
2,line:184
2,line:171
1,line:154
2,line:47
2,line:264
1,line:76
1,line:140
2,line:165
1,line:69
2,line:142
1,line:185
2,line:140
1,line:40
1,line:165
1,line:100
1,line:59
2,line:164
2,line:19
2,line:75
2,line:82
1,line:208
2,line:64
1,line:97
1,line:143
1,line:224
2,line:160
2,line:87
2,line:154
1,line:193
2,line:29
1,line:158
1,line:73
1,line:96
1,line:151
2,line:94
1,line:159
1,line:207
2,line:76
1,line:19
1,line:46
2,line:40
2,line:138
1,line:42
1,line:51
2,line:51
2,line:155
2,line:108
1,line:38
1,line:20
2,line:172
2,line:157
1,line:209
2,line:224
1,line:60
2,line:96
1,line:107
2,line:22
1,line:269
4,line:99
2,line:139
1,line:142
2,line:105
2,line:217
1,line:18
1,line:102
2,line:269
2,line:58
1,line:138
1,line:108
2,line:31
1,line:56
1,line:182
1,line:198
1,line:163
1,line:170
2,line:56
1,line:17
1,line:55
1,line:183
2,line:23
1,line:82
2,line:10
1,line:41
2,line:57
1,line:197
2,line:25
2,line:182
2,line:270
1,line:45
1,line:23
1,line:63
2,line:166
3,line:99
1,line:164
2,line:170
2,line:17
1,line:16
2,line:41
1,line:14
2,line:174
1,line:215
2,line:27
1,line:12
