service_id,date,exception_type
1414646,20260408,1
1414646,20260413,1
1414646,20260414,1
1414646,20260415,1
1414646,20260504,1
1414646,20260505,1
1414647,20260408,1
1414647,20260409,1
1414647,20260410,1
1414647,20260413,1
1414647,20260414,1
1414647,20260415,1
1414647,20260416,1
1414647,20260417,1
1414647,20260504,1
1414647,20260505,1
1414648,20260408,1
1414648,20260409,1
1414648,20260410,1
1414648,20260413,1
1414648,20260414,1
1414648,20260415,1
1414648,20260416,1
1414648,20260417,1
1414648,20260504,1
1414648,20260505,1
1414649,20260408,1
1414649,20260409,1
1414649,20260410,1
1414649,20260413,1
1414649,20260414,1
1414649,20260415,1
1414649,20260416,1
1414649,20260417,1
1414649,20260504,1
1414649,20260505,1
1414650,20260408,1
1414650,20260409,1
1414650,20260410,1
1414650,20260413,1
1414650,20260414,1
1414650,20260415,1
1414650,20260416,1
1414650,20260417,1
1414650,20260504,1
1414650,20260505,1
1414651,20260408,1
1414651,20260409,1
1414651,20260410,1
1414651,20260413,1
1414651,20260414,1
1414651,20260415,1
1414651,20260416,1
1414651,20260417,1
1414651,20260504,1
1414651,20260505,1
1414652,20260408,1
1414652,20260409,1
1414652,20260410,1
1414652,20260413,1
1414652,20260414,1
1414652,20260415,1
1414652,20260416,1
1414652,20260417,1
1414652,20260504,1
1414652,20260505,1
1414653,20260408,1
1414653,20260409,1
1414653,20260410,1
1414653,20260413,1
1414653,20260414,1
1414653,20260415,1
1414653,20260416,1
1414653,20260417,1
1414653,20260504,1
1414653,20260505,1
1414654,20260408,1
1414654,20260409,1
1414654,20260410,1
1414654,20260413,1
1414654,20260414,1
1414654,20260415,1
1414654,20260416,1
1414654,20260417,1
1414654,20260504,1
1414654,20260505,1
1414655,20260408,1
1414655,20260409,1
1414655,20260410,1
1414655,20260413,1
1414655,20260414,1
1414655,20260415,1
1414655,20260416,1
1414655,20260417,1
1414655,20260504,1
1414655,20260505,1
1414656,20260408,1
1414656,20260409,1
1414656,20260410,1
1414656,20260413,1
1414656,20260414,1
1414656,20260415,1
1414656,20260416,1
1414656,20260417,1
1414656,20260504,1
1414656,20260505,1
1414657,20260408,1
1414657,20260409,1
1414657,20260410,1
1414657,20260413,1
1414657,20260414,1
1414657,20260415,1
1414657,20260416,1
1414657,20260417,1
1414657,20260504,1
1414657,20260505,1
1414658,20260408,1
1414658,20260409,1
1414658,20260410,1
1414658,20260413,1
1414658,20260414,1
1414658,20260415,1
1414658,20260416,1
1414658,20260417,1
1414658,20260504,1
1414658,20260505,1
1414659,20260408,1
1414659,20260409,1
1414659,20260410,1
1414659,20260413,1
1414659,20260414,1
1414659,20260415,1
1414659,20260416,1
1414659,20260417,1
1414659,20260504,1
1414659,20260505,1
1414660,20260408,1
1414660,20260409,1
1414660,20260410,1
1414660,20260413,1
1414660,20260414,1
1414660,20260415,1
1414660,20260416,1
1414660,20260417,1
1414660,20260504,1
1414660,20260505,1
1414661,20260408,1
1414661,20260409,1
1414661,20260410,1
1414661,20260413,1
1414661,20260414,1
1414661,20260415,1
1414661,20260416,1
1414661,20260417,1
1414661,20260504,1
1414661,20260505,1
1414662,20260408,1
1414662,20260409,1
1414662,20260410,1
1414662,20260413,1
1414662,20260414,1
1414662,20260415,1
1414662,20260416,1
1414662,20260417,1
1414662,20260504,1
1414662,20260505,1
1414663,20260408,1
1414663,20260409,1
1414663,20260410,1
1414663,20260413,1
1414663,20260414,1
1414663,20260415,1
1414663,20260416,1
1414663,20260417,1
1414663,20260504,1
1414663,20260505,1
1414664,20260408,1
1414664,20260409,1
1414664,20260410,1
1414664,20260413,1
1414664,20260414,1
1414664,20260415,1
1414664,20260416,1
1414664,20260417,1
1414664,20260504,1
1414664,20260505,1
1414665,20260408,1
1414665,20260409,1
1414665,20260410,1
1414665,20260413,1
1414665,20260414,1
1414665,20260415,1
1414665,20260416,1
1414665,20260417,1
1414665,20260504,1
1414665,20260505,1
1414666,20260408,1
1414666,20260409,1
1414666,20260410,1
1414666,20260413,1
1414666,20260414,1
1414666,20260415,1
1414666,20260416,1
1414666,20260417,1
1414666,20260504,1
1414666,20260505,1
1414667,20260408,1
1414667,20260409,1
1414667,20260410,1
1414667,20260413,1
1414667,20260414,1
1414667,20260415,1
1414667,20260416,1
1414667,20260417,1
1414667,20260504,1
1414667,20260505,1
1414668,20260408,1
1414668,20260409,1
1414668,20260410,1
1414668,20260413,1
1414668,20260414,1
1414668,20260415,1
1414668,20260416,1
1414668,20260417,1
1414668,20260504,1
1414668,20260505,1
1414669,20260408,1
1414669,20260409,1
1414669,20260410,1
1414669,20260413,1
1414669,20260414,1
1414669,20260415,1
1414669,20260416,1
1414669,20260417,1
1414669,20260504,1
1414669,20260505,1
1414670,20260408,1
1414670,20260409,1
1414670,20260410,1
1414670,20260413,1
1414670,20260414,1
1414670,20260415,1
1414670,20260416,1
1414670,20260417,1
1414670,20260504,1
1414670,20260505,1
1414671,20260408,1
1414671,20260409,1
1414671,20260410,1
1414671,20260413,1
1414671,20260414,1
1414671,20260415,1
1414671,20260416,1
1414671,20260417,1
1414671,20260504,1
1414671,20260505,1
1414672,20260408,1
1414672,20260409,1
1414672,20260410,1
1414672,20260413,1
1414672,20260414,1
1414672,20260415,1
1414672,20260416,1
1414672,20260417,1
1414672,20260504,1
1414672,20260505,1
1414673,20260408,1
1414673,20260409,1
1414673,20260410,1
1414673,20260413,1
1414673,20260414,1
1414673,20260415,1
1414673,20260416,1
1414673,20260417,1
1414673,20260504,1
1414673,20260505,1
1414674,20260408,1
1414674,20260409,1
1414674,20260410,1
1414674,20260413,1
1414674,20260414,1
1414674,20260415,1
1414674,20260416,1
1414674,20260417,1
1414674,20260504,1
1414674,20260505,1
1414675,20260408,1
1414675,20260409,1
1414675,20260410,1
1414675,20260413,1
1414675,20260414,1
1414675,20260415,1
1414675,20260416,1
1414675,20260417,1
1414675,20260504,1
1414675,20260505,1
1414676,20260408,1
1414676,20260409,1
1414676,20260410,1
1414676,20260413,1
1414676,20260414,1
1414676,20260415,1
1414676,20260416,1
1414676,20260417,1
1414676,20260504,1
1414676,20260505,1
1414677,20260408,1
1414677,20260409,1
1414677,20260410,1
1414677,20260413,1
1414677,20260414,1
1414677,20260415,1
1414677,20260416,1
1414677,20260417,1
