route_id,service_id,trip_id,direction_id,trip_headsign,shape_id
line:61,27_1475422,2224151,0,Balma-Gramont,14954
line:61,27_1476631,2225357,1,Basso Cambo,14955
line:61,27_1477012,2225736,0,Balma-Gramont,14954
line:61,27_1475910,2224638,0,Balma-Gramont,14954
line:61,27_1476093,2224821,1,Basso Cambo,14955
line:61,27_1477013,2225737,0,Balma-Gramont,14954
line:61,27_1477239,2225962,1,Basso Cambo,14955
line:61,27_1476781,2225506,0,Balma-Gramont,14954
line:61,27_1475964,2224692,0,Balma-Gramont,14954
line:61,27_1476928,2225653,1,Basso Cambo,14955
line:61,27_1475740,2224469,1,Basso Cambo,14955
line:61,27_1475623,2224352,1,Basso Cambo,14955
line:61,27_1477409,2226131,1,Basso Cambo,14955
line:61,27_1477210,2225933,0,Balma-Gramont,14954
line:61,27_1477073,2225797,0,Balma-Gramont,14954
line:61,27_1477286,2226009,1,Basso Cambo,14955
line:61,27_1475662,2224391,1,Basso Cambo,14955
line:61,27_1475969,2224697,0,Balma-Gramont,14954
line:61,27_1477184,2225908,1,Basso Cambo,14955
line:61,27_1475572,2224301,0,Balma-Gramont,14954
line:61,27_1477011,2225735,0,Balma-Gramont,14954
line:61,27_1477448,2226169,0,Balma-Gramont,14954
line:61,27_1475698,2224427,1,Basso Cambo,14955
line:61,27_1476209,2224936,0,Balma-Gramont,14954
line:61,27_1476887,2225612,1,Basso Cambo,14955
line:61,27_1476570,2225296,1,Basso Cambo,14955
line:61,27_1475721,2224450,1,Basso Cambo,14955
line:61,27_1475412,2224141,0,Balma-Gramont,14954
line:61,27_1475605,2224334,0,Balma-Gramont,14954
line:61,27_1476345,2225071,0,Balma-Gramont,14954
line:61,27_1477530,2226250,1,Basso Cambo,14955
line:61,27_1477411,2226133,1,Basso Cambo,14955
line:61,27_1477021,2225745,0,Balma-Gramont,14954
line:61,27_1476434,2225160,0,Balma-Gramont,14954
line:61,27_1477486,2226207,1,Basso Cambo,14955
line:61,27_1476842,2225567,1,Basso Cambo,14955
line:61,27_1477539,2226259,1,Basso Cambo,14955
line:61,27_1475570,2224299,0,Balma-Gramont,14954
line:61,27_1477088,2225812,1,Basso Cambo,14955
line:61,27_1476105,2224833,1,Basso Cambo,14955
line:61,27_1476608,2225334,1,Basso Cambo,14955
line:61,27_1476002,2224730,0,Balma-Gramont,14954
line:61,27_1477303,2226025,0,Balma-Gramont,14954
line:61,27_1476423,2225149,0,Balma-Gramont,14954
line:61,27_1476986,2225710,0,Balma-Gramont,14954
line:61,27_1476657,2225383,1,Basso Cambo,14955
line:61,27_1475911,2224639,0,Balma-Gramont,14954
line:61,27_1475518,2224247,0,Balma-Gramont,14954
line:61,27_1477097,2225821,1,Basso Cambo,14955
line:61,27_1475369,2224098,0,Balma-Gramont,14954
line:61,27_1476381,2225107,0,Balma-Gramont,14954
line:61,27_1477614,2226332,1,Basso Cambo,14955
line:61,27_1475420,2224149,0,Balma-Gramont,14954
line:61,27_1476586,2225312,1,Basso Cambo,14955
line:61,27_1475921,2224649,0,Balma-Gramont,14954
line:61,27_1476829,2225554,0,Balma-Gramont,14954
line:61,27_1475978,2224706,0,Balma-Gramont,14954
line:61,27_1475832,2224561,1,Basso Cambo,14955
line:61,27_1475951,2224679,0,Balma-Gramont,14954
line:61,27_1476889,2225614,1,Basso Cambo,14955
line:61,27_1477434,2226155,0,Balma-Gramont,14954
line:61,27_1477154,2225878,1,Basso Cambo,14955
line:61,27_1475777,2224506,1,Basso Cambo,14955
line:61,27_1475847,2224576,1,Basso Cambo,14955
line:61,27_1475418,2224147,0,Balma-Gramont,14954
line:61,27_1476295,2225022,1,Basso Cambo,14955
line:61,27_1475825,2224554,1,Basso Cambo,14955
line:61,27_1477743,2226455,1,Basso Cambo,14955
line:61,27_1476961,2225686,1,Basso Cambo,14955
line:61,27_1476267,2224994,1,Basso Cambo,14955
line:61,27_1477595,2226313,0,Balma-Gramont,14954
line:61,27_1475452,2224181,0,Balma-Gramont,14954
line:61,27_1476794,2225519,0,Balma-Gramont,14954
line:61,27_1477070,2225794,0,Balma-Gramont,14954
line:61,27_1476673,2225399,1,Basso Cambo,14955
line:61,27_1477705,2226418,0,Balma-Gramont,14954
line:61,27_1475446,2224175,0,Balma-Gramont,14954
line:61,27_1476199,2224926,0,Balma-Gramont,14954
line:61,27_1475510,2224239,0,Balma-Gramont,14954
line:61,27_1477691,2226404,0,Balma-Gramont,14954
line:61,27_1477531,2226251,1,Basso Cambo,14955
line:61,27_1475597,2224326,0,Balma-Gramont,14954
line:61,27_1477287,2226010,1,Basso Cambo,14955
line:61,27_1476294,2225021,1,Basso Cambo,14955
line:61,27_1477507,2226227,0,Balma-Gramont,14954
line:61,27_1475936,2224664,0,Balma-Gramont,14954
line:61,27_1476349,2225075,0,Balma-Gramont,14954
line:61,27_1475378,2224107,0,Balma-Gramont,14954
line:61,27_1475958,2224686,0,Balma-Gramont,14954
line:61,27_1475771,2224500,1,Basso Cambo,14955
line:61,27_1475324,2224053,0,Balma-Gramont,14954
line:61,27_1476373,2225099,0,Balma-Gramont,14954
line:61,27_1475913,2224641,0,Balma-Gramont,14954
line:61,27_1475735,2224464,1,Basso Cambo,14955
line:61,27_1476910,2225635,1,Basso Cambo,14955
line:61,27_1476801,2225526,0,Balma-Gramont,14954
line:61,27_1475331,2224060,0,Balma-Gramont,14954
line:61,27_1476877,2225602,1,Basso Cambo,14955
line:61,27_1476554,2225280,1,Basso Cambo,14955
line:61,27_1476088,2224816,1,Basso Cambo,14955
line:61,27_1477306,2226028,0,Balma-Gramont,14954
line:61,27_1476418,2225144,0,Balma-Gramont,14954
line:61,27_1477149,2225873,1,Basso Cambo,14955
line:61,27_1477589,2226307,0,Balma-Gramont,14954
line:61,27_1476935,2225660,1,Basso Cambo,14955
line:61,27_1476634,2225360,1,Basso Cambo,14955
line:61,27_1477337,2226059,0,Balma-Gramont,14954
line:61,27_1476130,2224858,1,Basso Cambo,14955
line:61,27_1476802,2225527,0,Balma-Gramont,14954
line:61,27_1475834,2224563,1,Basso Cambo,14955
line:61,27_1477360,2226082,0,Balma-Gramont,14954
line:61,27_1476899,2225624,1,Basso Cambo,14955
line:61,27_1476307,2225034,1,Basso Cambo,14955
line:61,27_1477062,2225786,0,Balma-Gramont,14954
line:61,27_1475596,2224325,0,Balma-Gramont,14954
line:61,27_1476922,2225647,1,Basso Cambo,14955
line:61,27_1475508,2224237,0,Balma-Gramont,14954
line:61,27_1475337,2224066,0,Balma-Gramont,14954
line:61,27_1476566,2225292,1,Basso Cambo,14955
line:61,27_1475388,2224117,0,Balma-Gramont,14954
line:61,27_1477123,2225847,1,Basso Cambo,14955
line:61,27_1476952,2225677,1,Basso Cambo,14955
line:61,27_1477194,2225917,0,Balma-Gramont,14954
line:61,27_1476492,2225218,0,Balma-Gramont,14954
line:61,27_1475902,2224630,0,Balma-Gramont,14954
line:61,27_1476960,2225685,1,Basso Cambo,14955
line:61,27_1476116,2224844,1,Basso Cambo,14955
line:61,27_1477050,2225774,0,Balma-Gramont,14954
line:61,27_1475393,2224122,0,Balma-Gramont,14954
line:61,27_1476945,2225670,1,Basso Cambo,14955
line:61,27_1476382,2225108,0,Balma-Gramont,14954
line:61,27_1476549,2225275,1,Basso Cambo,14955
line:61,27_1475830,2224559,1,Basso Cambo,14955
line:61,27_1476328,2225055,1,Basso Cambo,14955
line:61,27_1476763,2225488,0,Balma-Gramont,14954
line:61,27_1477234,2225957,1,Basso Cambo,14955
line:61,27_1475611,2224340,1,Basso Cambo,14955
line:61,27_1476114,2224842,1,Basso Cambo,14955
line:61,27_1476348,2225074,0,Balma-Gramont,14954
line:61,27_1476860,2225585,1,Basso Cambo,14955
line:61,27_1476919,2225644,1,Basso Cambo,14955
line:61,27_1477455,2226176,1,Basso Cambo,14955
line:61,27_1477017,2225741,0,Balma-Gramont,14954
line:61,27_1477212,2225935,0,Balma-Gramont,14954
line:61,27_1476920,2225645,1,Basso Cambo,14955
line:61,27_1477299,2226021,0,Balma-Gramont,14954
line:61,27_1477696,2226409,0,Balma-Gramont,14954
line:61,27_1476420,2225146,0,Balma-Gramont,14954
line:61,27_1476885,2225610,1,Basso Cambo,14955
line:61,27_1476054,2224782,1,Basso Cambo,14955
line:61,27_1475578,2224307,0,Balma-Gramont,14954
line:61,27_1475576,2224305,0,Balma-Gramont,14954
line:61,27_1475724,2224453,1,Basso Cambo,14955
line:61,27_1477474,2226195,1,Basso Cambo,14955
line:61,27_1477023,2225747,0,Balma-Gramont,14954
line:61,27_1476391,2225117,0,Balma-Gramont,14954
line:61,27_1475429,2224158,0,Balma-Gramont,14954
line:61,27_1475690,2224419,1,Basso Cambo,14955
line:61,27_1476370,2225096,0,Balma-Gramont,14954
line:61,27_1476992,2225716,0,Balma-Gramont,14954
line:61,27_1476622,2225348,1,Basso Cambo,14955
line:61,27_1475628,2224357,1,Basso Cambo,14955
line:61,27_1476717,2225443,1,Basso Cambo,14955
line:61,27_1477257,2225980,1,Basso Cambo,14955
line:61,27_1475992,2224720,0,Balma-Gramont,14954
line:61,27_1477600,2226318,0,Balma-Gramont,14954
line:61,27_1477105,2225829,1,Basso Cambo,14955
line:61,27_1476526,2225252,0,Balma-Gramont,14954
line:61,27_1477209,2225932,0,Balma-Gramont,14954
line:61,27_1476456,2225182,0,Balma-Gramont,14954
line:61,27_1476533,2225259,0,Balma-Gramont,14954
